10th-wolf,10th & Wolf,36,6.8,"August 18, 2006",107 min,"['Rated R for strong brutal violence', 'pervasive language', 'some drug content and sexuality/nudity.']",Suzanne DeLaurentiis Productions,5,4,0
11-flowers,11 Flowers,71,tbd,"February 22, 2013",110 min,Not Rated,WXS Productions,3,0,0
1114,11:14,65,7.1,"August 12, 2005",86 min,"['Rated R for violence', 'sexuality and pervasive language.']",Firm Films,25,9,3
12-rounds,12 Rounds,38,5.0,"March 27, 2009",108 min,Rated PG-13 for intense sequences of violence and action.,"['Mark Gordon Company', 'The']",20,28,25
twelve-years-a-slave,12 Years a Slave,96,8.1,"October 18, 2013",134 min,"['Rated R for violence/cruelty', 'some nudity and brief sexuality']",Summit Entertainment,0,0,0
127-hours,127 Hours,82,8.1,"November 5, 2010",94 min,Rated R for language and some disturbing violent content/bloody images.,Film4,544,52,21
13-assassins,13 Assassins,84,8.0,"April 29, 2011",141 min,"['Rated R for sequences of bloody violence', 'some disturbing images and brief nudity.']",Toho Company,145,15,5
13-cameras,13 Cameras,41,tbd,"April 15, 2016",87 min,Not Rated,,0,1,1
13-going-on-30,13 Going on 30,57,8.2,"April 23, 2004",98 min,Rated PG-13 for some sexual content and brief drug references.,Revolution Studios,145,38,12
13-hours-the-secret-soldiers-of-benghazi,13 Hours: The Secret Soldiers of Benghazi,48,6.9,"January 15, 2016",144 min,"['Rated R for strong combat violence throughout', 'bloody images', 'and language']",Paramount Pictures,152,50,32
13-tzameti,13 Tzameti,61,7.6,"July 28, 2006",93 min,Not Rated,Canal+,19,1,2
14-blades,14 Blades,50,tbd,"August 22, 2014",114 min,Rated R for violence and bloody images,Shanghai Film Studios,2,0,0
1408,1408,64,8.3,"June 22, 2007",104 min,"['Rated PG-13 for thematic material including disturbing sequences of violence and terror', 'frightening images and language.']",Dimension Films,444,68,31
15-minutes,15 Minutes,34,5.4,"March 9, 2001",120 min,"['Rated R for strong violence', 'language and some sexuality.']",New Line Cinema,11,18,7
15-the-movie,15: The Movie,47,5.8,"April 13, 2005",90 min,,,5,1,3
16-acres,16 Acres,67,tbd,"November 16, 2012",95 min,,Tanexis Productions,2,0,0
16-blocks,16 Blocks,63,8.0,"March 3, 2006",105 min,"['Rated PG-13 for violence', 'intense sequences of action', 'and some strong language.']",Alcon Entertainment,173,42,15
16-years-of-alcohol,16 Years of Alcohol,57,6.1,"March 18, 2005",102 min,"['Rated R for pervasive language', 'some violent content and sexual material.']",Tartan Works Ltd.,5,1,2
17-again,17 Again,48,6.0,"April 17, 2009",102 min,"['Rated PG-13 for language', 'some sexual material and teen partying.']",Offspring Entertainment,82,61,26
1911,1911,37,6.0,"October 7, 2011",125 min,Rated R for war violence.,Jackie & JJ Productions,9,6,4
1971,1971,73,8.0,"February 6, 2015",79 min,Not Rated,Fork Films,5,0,0
first-night,1st Night,29,tbd,"May 3, 2013",116 min,Not Rated,Scorpio Films,0,0,1
2-days-in-new-york,2 Days in New York,61,5.4,"August 10, 2012",96 min,"['Rated R for language', 'sexual content', 'some drug use and brief nudity']",Saga Film (I),10,9,6
2-days-in-paris,2 Days in Paris,67,6.6,"August 10, 2007",96 min,R,Tempête Sous un Crâne,41,17,11
2-fast-2-furious,2 Fast 2 Furious,38,7.0,"June 6, 2003",107 min,"['Rated PG-13 for street racing', 'violence', 'language and some sensuality']",Universal Pictures,228,102,67
2-guns,2 Guns,55,6.6,"August 2, 2013",109 min,"['Rated R for violence throughout', 'language and brief nudity']",Universal Pictures,116,85,10
20-centimeters,20 Centimeters,58,7.3,"October 27, 2006",112 min,,Estudios Picasso,4,1,1
twenty-feet-from-stardom,20 Feet from Stardom,83,7.3,"June 14, 2013",91 min,Rated PG-13 for some strong language and sexual material,Tremolo Productions,0,0,0
200-cigarettes,200 Cigarettes,33,7.2,"February 26, 1999",101 min,Rated R for strong language and sexual content.,Lakeshore Entertainment,18,8,4
2001-a-space-odyssey,2001: A Space Odyssey,86,7.9,"April 2, 1968",141 min,G,Metro-Goldwyn-Mayer (MGM),660,48,126
2009-lost-memories,2009: Lost Memories,40,5.2,"May 20, 2005",136 min,Rated R for pervasive strong violence.,CJ Entertainment,2,3,1
2012,2012,49,5.4,"November 13, 2009",158 min,Rated PG-13 for intense disaster sequences and some language.,Columbia Pictures,251,206,178
2046,2046,78,7.5,"August 5, 2005",129 min,Rated R for sexual content.,Arte,78,6,16
20th-century-women,20th Century Women,83,7.1,"December 28, 2016",119 min,"['Rated R for sexual material', 'language', 'some nudity and brief drug use']",Annapurna Pictures,57,15,9
21,21,48,6.3,"March 28, 2008",123 min,"['Rated PG-13 for some violence', 'and sexual content including partial nudity.']",Relativity Media,85,67,22
21-and-over,21 and Over,34,5.4,"March 1, 2013",93 min,"['Rated R for crude and sexual content', 'pervasive language', 'some graphic nudity', 'drugs and drinking']",Relativity Media,33,44,28
21-grams,21 Grams,70,8.0,"November 21, 2003",124 min,"['Rated R for language', 'sexuality', 'some violence and drug use.']",This Is That Productions,148,19,7
21-jump-street,21 Jump Street,69,8.0,"March 16, 2012",109 min,"['Rated R for crude and sexual content', 'pervasive language', 'drug material', 'teen drinking and some violence']",Relativity Media,783,113,36
21-years-richard-linklater,21 Years: Richard Linklater,51,6.0,"November 7, 2014",78 min,Not Rated,Wood Entertainment,4,1,2
22-jump-street,22 Jump Street,71,8.1,"June 13, 2014",112 min,"['Rated R for language throughout', 'sexual content', 'drug material', 'brief nudity and some violence']",Columbia Pictures,629,84,43
23-blast,23 Blast,45,3.6,"October 24, 2014",98 min,Rated PG-13 for some teen drinking,Toy Gun Films,2,1,4
24-days,24 Days,59,tbd,"April 24, 2015",108 min,Not Rated,Région Ile-de-France,2,0,0
24-hour-party-people,24 Hour Party People,85,8.7,"August 9, 2002",117 min,"['Rated R for strong language', 'drug use and sexuality.']",FilmFour,87,8,4
24-hours-on-craigslist,24 Hours on Craigslist,47,tbd,"January 19, 2006",82 min,,Yerba Buena Productions Inc.,1,0,0
25th-hour,25th Hour,67,8.7,"December 19, 2002",135 min,Rated R for strong language and some violence.,Touchstone Pictures,177,15,6
27-dresses,27 Dresses,47,5.8,"January 18, 2008",111 min,"['Rated PG-13 for language', 'some innuendo and sexuality.']",Spyglass Entertainment,51,44,25
28-days,28 Days,46,6.2,"April 14, 2000",103 min,"['Rated PG-13 for mature thematic elements involving substance abuse', 'language and some sensuality.']",Columbia Pictures Corporation,15,13,4
28-days-later,28 Days Later...,73,7.8,"June 27, 2003",113 min,"['Rated R for strong violence and gore', 'language and nudity.']",DNA Films,318,41,20
28-hotel-rooms,28 Hotel Rooms,50,5.7,"November 9, 2012",82 min,Not Rated,Silverwood Films,2,2,2
28-weeks-later,28 Weeks Later,78,7.0,"May 11, 2007",99 min,"['Rated R for strong violence and gore', 'language and some sexuality/nudity.']",UK Film Council,312,86,63
three,3,55,5.8,"September 16, 2011",119 min,Not Rated,X-Filme Creative Pool,0,0,0
3-dancing-slaves,3 Dancing Slaves,46,tbd,"September 2, 2005",90 min,,Centre National de la Cinématographie (CNC),1,2,0
three-days-to-kill,3 Days to Kill,40,5.6,"February 21, 2014",117 min,"['Rated PG-13 for intense sequences of violence and action', 'some sensuality and language (certificte #48907)']",Relativity Media,0,0,0
3-geezers!,3 Geezers!,9,4.4,"May 22, 2013",81 min,Not Rated,Rubber Tree Productions,4,0,5
3-hearts,3 Hearts,56,tbd,"March 13, 2015",106 min,"['Rated PG-13 for sexual content', 'brief nudity', 'thematic material', 'and smoking throughout']",Canal+,0,0,1
3-idiots,3 Idiots,67,8.2,"February 12, 2010",160 min,,Vinod Chopra Productions,120,10,11
3-needles,3 Needles,48,tbd,"December 1, 2006",127 min,Not Rated,Emotion Pictures,0,0,0
3-strikes,3 Strikes,11,4.0,"March 1, 2000",82 min,R,Metro-Goldwyn-Mayer (MGM),4,1,6
3-women,3 Women,71,8.4,"June 28, 2002",,PG,Lions Gate Films,21,1,1
3-2-1-frankie-go-boom,"3, 2, 1... Frankie Go Boom",51,tbd,"October 12, 2012",89 min,Not Rated,Ministry of Content,1,1,0
3-iron,3-Iron,72,8.2,"April 29, 2005",88 min,Rated R for some sexual content.,Kim Ki-Duk Film,34,3,2
30-days-of-night,30 Days of Night,53,6.8,"October 19, 2007",113 min,Rated R for strong horror violence and language.,Columbia Pictures,128,63,29
30-minutes-or-less,30 Minutes or Less,49,5.7,"August 12, 2011",83 min,"['Rated R for crude and sexual content', 'pervasive language', 'nudity and some violence.']",Paramount Pictures,59,87,29
30-years-to-life,30 Years to Life,56,tbd,"April 5, 2002",110 min,Rated R for language and some sexuality.,Oasis Entertainment Inc.,2,1,0
300,300,52,7.1,"March 9, 2007",117 min,"['Rated R for graphic battle sequences throughout', 'some sexuality and nudity.']",Warner Bros. Pictures,"1,013",197,254
3000-miles-to-graceland,3000 Miles to Graceland,21,4.0,"February 23, 2001",125 min,"['Rated R for strong violence', 'sexuality and language.']",Epsilon Motion Pictures,46,8,66
300-rise-of-an-empire,300: Rise of an Empire,48,6.0,"March 7, 2014",102 min,"['Rated R for strong sustained sequences of stylized bloody violence throughout', 'a sex scene', 'nudity and some language']",Warner Bros. Pictures,280,179,106
31,31,35,7.0,"October 21, 2016",102 min,"['Rated R for strong bloody horror violence', 'pervasive language', 'sexual content and drug use (cut)']",Spectacle Entertainment Group,10,4,2
33-postcards,33 Postcards,33,tbd,"May 17, 2013",97 min,Not Rated,Portal Pictures,0,1,0
35-shots-of-rum,35 Shots of Rum,92,6.2,"September 16, 2009",100 min,Not Rated,Canal+,30,6,17
360,360,43,3.6,"August 3, 2012",110 min,"['Rated R for sexuality', 'nudity and language']",BBC Films,22,12,45
310-to-yuma,3:10 to Yuma,76,7.3,"September 7, 2007",122 min,Rated R for violence and some language.,Relativity Media,305,64,45
4,4,72,6.9,"April 7, 2006",126 min,,Hubert Bals Fund,5,1,1
4-little-girls,4 Little Girls,89,8.1,"July 9, 1997",102 min,,Home Box Office (HBO),6,1,1
4-minute-mile,4 Minute Mile,48,tbd,"August 1, 2014",96 min,"['Rated PG-13 for mature thematic material involving violence', 'drinking and drugs', 'and for smoking and some language']",One Square Mile Management Company,0,2,1
4-months-3-weeks-and-2-days,"4 Months, 3 Weeks and 2 Days",97,7.9,"January 23, 2008",113 min,Not Rated,Mobra Films,217,34,25
40-days-and-40-nights,40 Days and 40 Nights,53,8.0,"March 1, 2002",96 min,"['Rated R for strong sexual content', 'nudity and language.']",Universal Pictures,95,16,16
42,42,62,7.4,"April 12, 2013",128 min,Rated PG-13 for thematic elements including language,Warner Bros. Pictures,156,32,11
42-forty-two-up,42: Forty Two Up,86,8.6,"November 17, 1999",139 min,,British Broadcasting Corporation (BBC),14,1,1
44-inch-chest,44 Inch Chest,47,5.1,"January 15, 2010",95 min,"['Rated R for pervasive strong language including sexual references', 'and some violence.']",Prescience Media,9,1,7
45-years,45 Years,94,7.5,"December 23, 2015",95 min,Not Rated,"['Bureau', 'The']",99,21,11
47-ronin,47 Ronin,28,6.2,"December 25, 2013",118 min,"['Rated PG-13 for intense sequences of violence and action', 'some disturbing images', 'and thematic elements']",Stuber Productions,207,110,75
48-hrs,48 Hrs.,71,8.8,"December 8, 1982",96 min,R,Paramount Pictures,95,8,2
49-up,49 Up,84,8.5,"October 6, 2006",,,Granada Television,12,0,1
444-last-day-on-earth,4:44 Last Day on Earth,54,4.4,"March 23, 2012",85 min,Not Rated,Off Hollywood Pictures,2,4,4
5-broken-cameras,5 Broken Cameras,78,7.6,"May 25, 2012",90 min,Not Rated,Alegria Productions,8,2,2
5-days-of-war,5 Days of War,31,1.5,"August 19, 2011",120 min,"['Rated R for strong bloody war violence and atrocities', 'and for pervasive language.']",Georgia International Films,4,6,37
5-flights-up,5 Flights Up,55,6.8,"May 8, 2015",92 min,PG-13 for language and some nude images,Revelations Entertainment,7,5,0
5-to-7,5 to 7,52,7.5,"April 3, 2015",95 min,Rated R for some sexual material,Mockingbird Pictures,14,4,1
50-first-dates,50 First Dates,48,6.5,"February 13, 2004",99 min,Rated PG-13 on appeal for crude sexual humor and drug references.,Flower Films (II),97,66,21
50-to-1,50 to 1,37,8.1,"May 23, 2014",,Rated PG-13 for some suggestive material and a bar brawl.,Ten Furlongs,6,0,1
live-with-it,50/50,72,8.5,"September 30, 2011",99 min,"['Rated R for language throughout', 'sexual content and some drug use']",Relativity Media,0,0,0
52-tuesdays,52 Tuesdays,71,6.7,"March 27, 2015",109 min,Not Rated,Closer Productions,5,0,1
54,54,33,1.5,"August 28, 1998",93 min,"['Rated R for strong sexuality', 'drug use and language.']",Miramax Films,5,3,34
56-up,56 Up,83,8.3,"January 4, 2013",144 min,Not Rated,ITV Studios,13,1,1
5x2,5x2,62,6.6,"June 10, 2005",90 min,"['Rated R for strong graphic sexuality', 'language and some drug content.']",Canal+,9,4,2
6-souls,6 Souls,28,5.9,"April 5, 2013",112 min,"['Rated R for violent content', 'disturbing images and terror']",IM Global,8,3,2
6ixtynin9,6ixtynin9,65,8.0,"May 20, 2005",118 min,"['Rated R for violence', 'language and brief sexual humor.']",Five Stars Production Company,4,0,0
7-chinese-brothers,7 Chinese Brothers,56,5.4,"August 28, 2015",76 min,,,3,1,1
7-days-in-september,7 Days in September,74,7.4,"September 6, 2002",94 min,,Camera Planet,5,1,1
7-minutes,7 Minutes,35,6.8,"June 26, 2015",92 min,Not Rated,Whitewater Films,3,1,0
71-fragments-of-a-chronology-of-chance,71 Fragments of a Chronology of Chance,67,7.6,"July 14, 2006",100 min,,Wega Film,4,1,0
8-heads-in-a-duffel-bag,8 Heads in a Duffel Bag,15,1.6,"April 18, 1997",95 min,Rated R for language.,Orion Pictures Corporation,5,5,37
8-mile,8 Mile,77,8.7,"November 8, 2002",110 min,"['Rated R for strong language', 'sexuality', 'some violence and drug use.']",Imagine Entertainment,400,32,14
8-women,8 Women,64,6.3,"September 20, 2002",111 min,Rated R for some sexual content.,Canal+,11,6,5
8-women-2000,8 ½ Women,36,2.5,"May 26, 2000",118 min,Rated R for strong sexual content including dialogue and pervasive nudity.,Delux Productions,5,1,14
800-bullets,800 Bullets,51,4.9,"October 29, 2004",124 min,Rated R for sexual content/nudity and some violence.,Canal+ España,2,4,2
88minutes,88 Minutes,17,4.9,"April 18, 2008",108 min,"['Rated R for disturbing violent content', 'brief nudity and language.']",Millennium Films,47,22,45
8-the-mormon-proposition,8: The Mormon Proposition,55,6.7,"June 18, 2010",80 min,Rated R for some language/sexual references.,David v. Goliath Films,21,1,7
8mm,8MM,19,2.6,"February 26, 1999",123 min,"['Rated R for strong perverse sexuality and violence', 'and for strong language.']",Columbia Pictures Corporation,36,25,108
9,9,60,7.1,"September 9, 2009",79 min,Rated PG-13 for violence and scary images.,Relativity Media,161,56,25
9-dead-gay-guys,9 Dead Gay Guys,21,7.7,"October 17, 2003",83 min,"['Rated R for strong sexual content including pervasive dialogue', 'and language.']",Little Wing Films,10,1,2
9-songs,9 Songs,43,5.3,"July 22, 2005",71 min,Not Rated,Revolution Films,16,9,9
90-minutes-in-heaven,90 Minutes in Heaven,28,1.3,"September 11, 2015",121 min,Rated PG-13 for intense accident and injury images,Emmett/Furla Films,0,1,8
99-homes,99 Homes,76,7.9,"September 25, 2015",112 min,"['Rated R for language including some sexual references', 'and a brief violent image']",Noruz Films (I),62,10,0
a-cause-dun-garcon,À cause d'un garçon,52,6.9,"June 18, 2004",86 min,,M6 Métropole Télévision,5,2,1
right-now,À Tout de Suite (Right Now),63,7.0,"April 29, 2005",95 min,Not Rated,CinéCinéma,5,0,2
ca-commence-aujourdhui,Ça commence aujourd'hui,78,6.3,"September 8, 2000",117 min,,Canal+,3,5,0
vocateur-the-morton-downey-jr-movie,Évocateur: The Morton Downey Jr. Movie,70,tbd,"June 7, 2013",,Not Rated,Ironbound Films,1,0,0
aon-flux,Æon Flux,36,5.5,"December 2, 2005",93 min,Rated PG-13 for sequences of violence and sexual content.,Paramount Pictures,86,60,56
a-ballerinas-tale,A Ballerina's Tale,55,4.9,"October 14, 2015",85 min,Not Rated,Romance Productions Inc.,4,1,4
a-band-called-death,A Band Called Death,77,6.5,"June 28, 2013",96 min,Not Rated,Picture Machine,8,5,2
a-beautiful-mind,A Beautiful Mind,72,8.1,"December 21, 2001",135 min,"['Rated PG-13 for intense thematic material', 'sexual content and a scene of violence.']",Universal Pictures,292,30,14
a-bigger-splash,A Bigger Splash,74,6.9,"May 4, 2016",125 min,"['Rated R for graphic nudity', 'some strong sexual content', 'language and brief drug use']",Ministero per i Beni e le Attività Culturali (MiBAC),40,9,6
a-birders-guide-to-everything,A Birder's Guide to Everything,61,6.1,"March 21, 2014",86 min,"['Rated PG-13 on appeal for language', 'sex and drug references', 'and brief partial nudity']",Escape Pictures,6,4,2
a-borrowed-identity,A Borrowed Identity,73,5.9,"June 26, 2015",104 min,Not Rated,ZDF/Arte,4,1,2
a-brave-heart-the-lizzie-velasquez-story,A Brave Heart: The Lizzie Velasquez Story,70,6.3,"September 25, 2015",78 min,"['Rated PG-13 for thematic elements involving bullying', 'and for brief strong language']",Women Rising,8,1,3
a-brilliant-young-mind,A Brilliant Young Mind,65,6.9,"September 11, 2015",111 min,Not Rated,Head Gear Films,14,6,1
a-bronx-tale,A Bronx Tale,80,8.8,"September 23, 1993",121 min,Rated R for strong language and several scenes of violence.,Tribeca Productions,121,6,4
a-bugs-life,A Bug's Life,77,7.9,"November 25, 1998",95 min,G,Walt Disney Pictures,266,42,7
a-case-of-you,A Case of You,38,4.9,"November 6, 2013",89 min,"['Rated R for language', 'some sexual references and drug use']",Lagniappe Films,5,5,4
a-cat-in-paris,A Cat in Paris,63,7.2,"June 1, 2012",70 min,"['Rated PG for mild violence and action', 'and some thematic material']",Radio Télévision Belge Francophone (RTBF),15,4,1
a-cause-dun-garcon,À cause d'un garçon,52,6.9,"June 18, 2004",86 min,,M6 Métropole Télévision,5,2,1
a-chorus-line,A Chorus Line,46,6.9,"December 9, 1985",113 min,PG-13,Embassy Films,5,3,1
a-christmas-horror-story,A Christmas Horror Story,49,7.4,"October 2, 2015",99 min,Not Rated,Copperheart Entertainment,10,6,0
a-christmas-story,A Christmas Story,77,8.7,"November 18, 1983",94 min,PG,Metro-Goldwyn-Mayer (MGM),147,11,2
a-christmas-tale,A Christmas Tale,84,7.0,"November 14, 2008",150 min,Not Rated,Why Not Productions,28,6,7
a-cinderella-story,A Cinderella Story,25,6.7,"July 16, 2004",95 min,Rated PG for mild language and innuendo.,Warner Bros. Pictures,68,20,28
a-civil-action,A Civil Action,68,7.9,"December 25, 1998",115 min,Rated PG-13 for some strong language.,Paramount Pictures,42,6,7
a-clockwork-orange,A Clockwork Orange,78,7.8,"December 20, 1971",136 min,X,Warner Bros. Pictures,513,31,96
oh-boy,A Coffee In Berlin,63,5.6,"June 13, 2014",83 min,Not Rated,Arte,0,0,0
a-common-thread,A Common Thread,63,5.7,"May 27, 2005",89 min,,Canal+,2,3,1
a-country-called-home,A Country Called Home,46,tbd,"February 26, 2016",90 min,Not Rated,Kickstart Productions,1,0,1
a-dangerous-method,A Dangerous Method,76,6.4,"November 23, 2011",99 min,Rated R for sexual content and brief language.,Sony Pictures Classics,76,53,17
a-dark-truth,A Dark Truth,31,4.7,"January 4, 2013",106 min,Rated R for violence and disturbing images,Vortex Words Pictures,5,4,5
a-day-without-a-mexican,A Day Without a Mexican,30,4.0,"May 14, 2004",100 min,Rated R for language and brief sexuality.,Instituto Mexicano de Cinematografía (IMCINE),4,4,8
a-decade-under-the-influence,A Decade Under the Influence,67,6.5,"April 25, 2003",138 min,"['Rated R for language', 'and images of sexuality', 'violence and drug use.']",Constant Communication,2,2,0
a-dirty-shame,A Dirty Shame,56,5.3,"September 24, 2004",89 min,"['Rated NC-17 for pervasive sexual content.; Rated R for pervasive strong crude sexual content', 'including fetishes. (The Neuter Version)']",This Is That Productions,7,4,7
a-dog-of-flanders,A Dog of Flanders,38,4.4,"August 27, 1999",100 min,"['Rated PG for one scene of mild violence', 'mild language and thematic elements.']",Woodbridge Films,2,0,3
a-dogs-purpose,A Dog's Purpose,43,5.7,"January 27, 2017",100 min,Rated PG for thematic elements and some peril,DreamWorks SKG,35,15,20
a-family-affair,A Family Affair,50,5.3,"May 9, 2003",107 min,,Atta Girl Productions,2,1,1
a-family-thing,A Family Thing,71,7.5,"March 29, 1996",109 min,"['Rated PG-13 for some strong language', 'brief violence and a childbirth scene.']",Butcher's Run Films,6,2,0
a-farewell-to-fools,A Farewell to Fools,34,4.0,"March 7, 2014",85 min,Rated PG-13 for a violent image and brief strong language,Mollywood,1,4,2
fewgoodmen,A Few Good Men,62,8.0,"December 11, 1992",138 min,Rated R for language.,Castle Rock Entertainment,103,10,2
a-field-in-england,A Field in England,73,7.2,"February 7, 2014",90 min,Not Rated,Film4,10,3,1
a-fish-called-wanda,A Fish Called Wanda,80,8.8,"July 29, 1988",108 min,R,Metro-Goldwyn-Mayer (MGM),102,5,2
a-five-star-life,A Five Star Life,51,8.4,"July 18, 2014",85 min,Not Rated,Rai Cinema,4,1,0
a-foreign-affair,A Foreign Affair,53,6.0,"May 7, 2004",94 min,Rated PG-13 for some sexual references.,B&W Films Inc.,1,3,0
a-girl-and-a-gun,A Girl and a Gun,41,7.5,"July 3, 2013",,Not Rated,,3,0,1
a-girl-like-her,A Girl Like Her,54,6.3,"March 27, 2015",91 min,"['Rated PG-13 for disturbing thematic material involving teens', 'and for language']",Radish Creative Group,10,2,5
a-girl-walks-home-alone-at-night,A Girl Walks Home Alone at Night,81,7.2,"November 21, 2014",99 min,Not Rated,SpectreVision,54,22,5
a-glimpse-inside-the-mind-of-charles-swan-iii,A Glimpse Inside the Mind of Charles Swan III,28,4.8,"February 8, 2013",86 min,Rated R for language and some nudity,American Zoetrope,16,6,17
a-good-baby,A Good Baby,74,4.3,"December 1, 2000",87 min,,Good Baby,2,3,3
a-good-day-to-die-hard,A Good Day to Die Hard,28,4.6,"February 14, 2013",98 min,Rated R for violence and language,Twentieth Century Fox Film Corporation,136,163,207
a-good-old-fashioned-orgy,A Good Old Fashioned Orgy,44,7.6,"September 2, 2011",92 min,"['Rated R for pervasive strong sexual content', 'graphic nudity and language.']",Endgame Entertainment,27,6,3
a-good-woman,A Good Woman,53,6.9,"February 6, 2006",93 min,"['Rated PG for thematic material', 'sensuality and language.']",Meltemi Entertainment,9,5,2
a-good-year,A Good Year,47,6.4,"November 10, 2006",118 min,Rated PG-13 for language and some sexual content.,Fox 2000 Pictures,44,25,11
a-guide-to-recognizing-your-saints,A Guide to Recognizing Your Saints,67,7.1,"September 29, 2006",100 min,"['Rated R for pervasive language', 'some violence', 'sexuality', 'and drug use.']",Xingu Films,36,4,7
a-guy-thing,A Guy Thing,27,6.0,"January 17, 2003",101 min,"['Rated PG-13 for language', 'crude humor', 'some sexual content and drug references.']",Metro-Goldwyn-Mayer (MGM),18,7,13
a-hard-day,A Hard Day,76,7.4,"July 17, 2015",111 min,Not Rated,AD406,19,5,2
a-hard-days-night-re-release,A Hard Day's Night (re-release),96,8.6,"December 1, 2000",87 min,G,Proscenium Films,65,5,3
a-haunted-house,A Haunted House,20,5.0,"January 11, 2013",86 min,"['Rated R for crude and sexual content', 'language and some drug use']",Endgame Entertainment,65,39,54
a-haunted-house-2,A Haunted House 2,17,3.8,"April 18, 2014",86 min,"['Rated R for crude and sexual content', 'nudity', 'pervasive language', 'drug use and some violent images']",Wayans Bros. Entertainment,27,24,58
a-hijacking,A Hijacking,82,7.3,"June 21, 2013",103 min,Rated R for language,Nordisk Film,28,9,2
a-history-of-violence,A History of Violence,81,7.4,"September 23, 2005",96 min,"['Rated R for strong brutal violence', 'graphic sexuality', 'nudity', 'language and some drug use.']",BenderSpink,575,83,148
a-hole-in-one,A Hole in One,37,5.7,"May 6, 2005",97 min,,Beech Hill Films,3,1,2
a-hologram-for-the-king,A Hologram for the King,58,5.8,"April 22, 2016",98 min,"['Rated R for some sexuality/nudity', 'language and brief drug use']",X-Filme Creative Pool,23,25,9
a-home-at-the-end-of-the-world,A Home at the End of the World,59,7.7,"July 23, 2004",97 min,"['Rated R for strong drug content', 'sexuality', 'nudity', 'language and a disturbing accident.']",John Wells Productions,18,1,4
a-housekeeper,A Housekeeper,68,6.4,"July 11, 2003",91 min,Rated R for some sexuality/nudity and brief language.,Canal+,3,1,1
a-jihad-for-love,A Jihad for Love,55,5.3,"May 21, 2008",81 min,Unrated,ZDF/Arte,3,3,2
a-kind-of-murder,A Kind of Murder,50,5.0,"December 16, 2016",95 min,Rated R for language and some violence,Killer Films,3,1,2
a-knights-tale,A Knight's Tale,54,6.8,"May 11, 2001",132 min,"['Rated PG-13 for action violence', 'some nudity and brief sex-related dialogue.']",Columbia Pictures Corporation,75,40,10
a-late-quartet,A Late Quartet,67,7.3,"November 2, 2012",105 min,Rated R for language and some sexuality,RKO Pictures,29,5,3
a-league-of-ordinary-gentlemen,A League of Ordinary Gentlemen,66,5.9,"May 27, 2005",93 min,Rated R for language.,2929 Productions,7,6,2
